#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD1806
#Date Time: 2023-11-30 21:57:21.519
#Sample rate: 884956Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 135 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 14 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 35 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.003196931829133717,-0.002889337082078986,-0.001086244685560143
-0.003195801829133716,-0.003565899933026446,-0.001763832638992664
-0.003194671829133717,-0.003227618507552947,-0.001763832638992664
-0.003193541829133717,-0.00255105565660518,-0.001086244685560143
-0.003192411829133717,-0.00255105565660518,-0.001086244685560143
-0.003191281829133716,-0.002212774231131527,-0.001763832638992818
-0.003190151829133717,-0.00255105565660518,-0.002102626615708925
-0.003189021829133717,-0.002212774231131373,-0.001763832638992664
-0.003187891829133717,-0.00255105565660518,-0.001425038662276404
-0.003186761829133717,-0.00255105565660518,-0.001425038662276404
-0.003185631829133717,-0.001874492805657567,-0.001763832638992664
-0.003184501829133717,-0.002212774231131373,-0.001763832638992664
-0.003183371829133716,-0.002212774231131373,-0.001425038662276404
-0.003182241829133717,-0.002551055656605026,-0.00176383263899251
-0.003181111829133717,-0.002889337082078986,-0.001763832638992664
-0.003179981829133717,-0.002212774231131373,-0.001425038662276404
-0.003178851829133716,-0.002212774231131681,-0.001425038662276558
-0.003177721829133717,-0.002889337082078679,-0.00176383263899251
-0.003176591829133717,-0.002889337082078986,-0.001763832638992664
-0.003175461829133717,-0.002889337082078986,-0.001086244685560143
-0.003174331829133716,-0.002889337082078833,-0.00142503866227625
-0.003173201829133717,-0.002551055656605334,-0.001086244685560297
-0.003172071829133717,-0.00255105565660518,-0.001763832638992664
-0.003170941829133717,-0.00255105565660518,-0.001425038662276404
-0.003169811829133716,-0.002889337082078986,-0.001763832638992356
-0.003168681829133717,-0.002889337082078986,-0.001086244685560143
-0.003167551829133717,-0.002889337082078986,-0.0007474507088438831
-0.003166421829133717,-0.00255105565660518,-0.001086244685560143
-0.003165291829133717,-0.00255105565660518,-0.001763832638992356
-0.003164161829133717,-0.002212774231131373,-0.001763832638992664
-0.003163031829133717,-0.00255105565660518,-0.001763832638992664
-0.003161901829133716,-0.002212774231131373,-0.001763832638992664
-0.003160771829133717,-0.002551055656605026,-0.001425038662276558
-0.003159641829133717,-0.002889337082078986,-0.001425038662276404
-0.003158511829133717,-0.00255105565660518,-0.001425038662276404
-0.003157381829133716,-0.002889337082078833,-0.001425038662276404
-0.003156251829133717,-0.002551055656605334,-0.001425038662276404
-0.003155121829133717,-0.002889337082078986,-0.001763832638992664
-0.003153991829133717,-0.002889337082078986,-0.001425038662276404
-0.003152861829133716,-0.002889337082078833,-0.001425038662276096
-0.003151731829133717,-0.002551055656605334,-0.0007474507088441912
-0.003150601829133717,-0.00255105565660518,-0.001425038662276404
-0.003149471829133717,-0.002889337082078986,-0.001763832638992664
-0.003148341829133716,-0.002889337082078986,-0.00176383263899251
-0.003147211829133717,-0.002889337082078986,-0.001425038662276404
-0.003146081829133717,-0.0035658999330266,-0.0007474507088438831
-0.003144951829133717,-0.002889337082078986,-0.001425038662276404
-0.003143821829133716,-0.002889337082078679,-0.001086244685560298
-0.003142691829133717,-0.002212774231131373,-0.001425038662276404
-0.003141561829133717,-0.00255105565660518,-0.001086244685560143
-0.003140431829133716,-0.00255105565660518,-0.001425038662276404
-0.003139301829133717,-0.00255105565660518,-0.001086244685560297
-0.003138171829133717,-0.00255105565660518,-0.001425038662276404
-0.003137041829133717,-0.002889337082078986,-0.001425038662276404
-0.003135911829133716,-0.002889337082078833,-0.001425038662276404
-0.003134781829133717,-0.002551055656605334,-0.001425038662276404
-0.003133651829133717,-0.00255105565660518,-0.001763832638992664
-0.003132521829133717,-0.00255105565660518,-0.001086244685560143
-0.003131391829133716,-0.001874492805657567,-0.00142503866227625
-0.003130261829133717,-0.001874492805657567,-0.001086244685560297
-0.003129131829133717,-0.00255105565660518,-0.001425038662276404
-0.003128001829133717,-0.00255105565660518,-0.001086244685560143
-0.003126871829133716,-0.002889337082078679,-0.001086244685560298
-0.003125741829133717,-0.002212774231131373,-0.001425038662276404
-0.003124611829133717,-0.002212774231131373,-0.001425038662276404
-0.003123481829133717,-0.00255105565660518,-0.0007474507088438831
-0.003122351829133716,-0.002889337082078833,-0.001086244685559989
-0.003121221829133717,-0.00255105565660518,-0.0007474507088438831
-0.003120091829133717,-0.00255105565660518,-0.001086244685560143
-0.003118961829133717,-0.00255105565660518,-0.001425038662276404
-0.003117831829133717,-0.00255105565660518,-0.001425038662276404
-0.003116701829133717,-0.00255105565660518,-0.001425038662276404
-0.003115571829133717,-0.002889337082078986,-0.001763832638992664
-0.003114441829133716,-0.002889337082078833,-0.00142503866227625
-0.003113311829133717,-0.002551055656605334,-0.001086244685560297
-0.003112181829133717,-0.00255105565660518,-0.001425038662276404
-0.003111051829133717,-0.002889337082078986,-0.001763832638992664
-0.003109921829133716,-0.002889337082078679,-0.001425038662276404
-0.003108791829133717,-0.002212774231131681,-0.001425038662276404
-0.003107661829133717,-0.002889337082078986,-0.001763832638992664
-0.003106531829133717,-0.002889337082078986,-0.001763832638992664
-0.003105401829133716,-0.002889337082078833,-0.0007474507088438831
-0.003104271829133717,-0.002551055656605334,-0.0007474507088438831
-0.003103141829133717,-0.00255105565660518,-0.001425038662276404
-0.003102011829133717,-0.002889337082078986,-0.001425038662276404
-0.003100881829133716,-0.002889337082078679,-0.001425038662276404
-0.003099751829133717,-0.002212774231131373,-0.001425038662276404
-0.003098621829133717,-0.002212774231131373,-0.001425038662276404
-0.003097491829133717,-0.00255105565660518,-0.001425038662276404
-0.003096361829133717,-0.002889337082078833,-0.001425038662276404
-0.003095231829133717,-0.002212774231131373,-0.001763832638992664
-0.003094101829133717,-0.002212774231131373,-0.001425038662276404
-0.003092971829133716,-0.002212774231131527,-0.001763832638992664
-0.003091841829133717,-0.002551055656605026,-0.001763832638992664
-0.003090711829133717,-0.00255105565660518,-0.001086244685560143
-0.003089581829133717,-0.00255105565660518,-0.001425038662276404
-0.003088451829133716,-0.00255105565660518,-0.001763832638992356
-0.003087321829133717,-0.00255105565660518,-0.001086244685560452
-0.003086191829133717,-0.00255105565660518,-0.0007474507088438831
-0.003085061829133717,-0.002212774231131373,-0.001425038662276404
-0.003083931829133716,-0.002551055656605026,-0.001425038662276404
-0.003082801829133717,-0.002212774231131527,-0.001425038662276404
-0.003081671829133717,-0.00255105565660518,-0.001086244685560143
-0.003080541829133717,-0.00255105565660518,-0.001086244685560143
-0.003079411829133716,-0.002889337082078833,-0.001425038662276096
-0.003078281829133717,-0.00255105565660518,-0.0007474507088438831
-0.003077151829133717,-0.002889337082078986,-0.001086244685560143
-0.003076021829133717,-0.003227618507552793,-0.001425038662276404
-0.003074891829133717,-0.00288933708207914,-0.001425038662276404
-0.003073761829133717,-0.00255105565660518,-0.001086244685560143
-0.003072631829133717,-0.00255105565660518,-0.001086244685560143
-0.003071501829133716,-0.002889337082078679,-0.0007474507088438831
-0.003070371829133717,-0.002212774231131681,-0.0007474507088438831
-0.003069241829133717,-0.002889337082078986,-0.001086244685560143
-0.003068111829133717,-0.00255105565660518,-0.001763832638992664
-0.003066981829133716,-0.002889337082078833,-0.001425038662276404
-0.003065851829133717,-0.002551055656605334,-0.001425038662276404
-0.003064721829133717,-0.002212774231131373,-0.001425038662276404
-0.003063591829133717,-0.002212774231131373,-0.001086244685560143
-0.003062461829133716,-0.002212774231131527,-0.001086244685559989
-0.003061331829133717,-0.002551055656605026,-0.0007474507088440372
-0.003060201829133717,-0.00255105565660518,-0.001086244685560143
-0.003059071829133717,-0.00255105565660518,-0.001425038662276404
-0.003057941829133716,-0.00255105565660518,-0.001425038662276712
-0.003056811829133717,-0.00255105565660518,-0.002102626615708925
-0.003055681829133717,-0.002212774231131373,-0.001763832638992664
-0.003054551829133717,-0.00255105565660518,-0.001425038662276404
-0.003053421829133717,-0.002889337082078833,-0.00176383263899251
-0.003052291829133717,-0.002889337082078986,-0.001763832638992664
-0.003051161829133717,-0.00255105565660518,-0.001763832638992664
-0.003050031829133716,-0.003227618507552639,-0.001086244685560298
-0.003048901829133717,-0.00288933708207914,-0.00142503866227625
-0.003047771829133717,-0.003227618507552793,-0.001425038662276404
-0.003046641829133717,-0.002889337082078986,-0.001425038662276404
-0.003045511829133716,-0.002551055656605334,-0.001763832638992664
-0.003044381829133717,-0.002889337082078833,-0.001763832638992664
-0.003043251829133717,-0.002889337082078986,-0.001086244685560143
-0.003042121829133717,-0.002889337082078986,-0.0007474507088438831
-0.003040991829133716,-0.003227618507552793,-0.0007474507088438831
-0.003039861829133717,-0.003227618507552793,-0.0007474507088438831
-0.003038731829133717,-0.002889337082078986,-0.0007474507088438831
-0.003037601829133717,-0.002889337082078986,-0.001086244685560143
-0.003036471829133716,-0.00255105565660518,-0.00142503866227625
-0.003035341829133717,-0.00255105565660518,-0.001086244685560143
-0.003034211829133717,-0.002889337082078986,-0.001425038662276404
-0.003033081829133717,-0.002889337082078986,-0.001763832638992664
-0.003031951829133717,-0.002889337082078986,-0.001763832638992664
-0.003030821829133717,-0.002889337082078986,-0.001763832638992664
-0.003029691829133717,-0.002889337082078986,-0.001763832638992664
-0.003028561829133716,-0.002212774231131527,-0.00176383263899251
-0.003027431829133717,-0.002551055656605026,-0.001425038662276558
-0.003026301829133717,-0.00255105565660518,-0.001086244685560143
-0.003025171829133717,-0.002889337082078986,-0.0007474507088438831
-0.003024041829133716,-0.002212774231131373,-0.001425038662276404
-0.003022911829133717,-0.002212774231131373,-0.001425038662276404
-0.003021781829133717,-0.002889337082078986,-0.001425038662276404
-0.003020651829133717,-0.00255105565660518,-0.001086244685560143
-0.003019521829133716,-0.002551055656605487,-0.00142503866227625
-0.003018391829133717,-0.003227618507552485,-0.001086244685560297
-0.003017261829133717,-0.002889337082078986,-0.001425038662276404
-0.003016131829133717,-0.00255105565660518,-0.001086244685560143
-0.003015001829133716,-0.00288933708207914,-0.00142503866227625
-0.003013871829133717,-0.003227618507552793,-0.001086244685560143
-0.003012741829133717,-0.002889337082078986,-0.001763832638992664
-0.003011611829133717,-0.002889337082078986,-0.001425038662276404
-0.003010481829133717,-0.003227618507552639,-0.001425038662276404
-0.003009351829133717,-0.002889337082078986,-0.001425038662276404
-0.003008221829133717,-0.002889337082078986,-0.001763832638992664
-0.003007091829133716,-0.002551055656605334,-0.001425038662276404
-0.003005961829133717,-0.002889337082078833,-0.001425038662276404
