#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD1806
#Date Time: 2023-11-30 22:20:45.356
#Sample rate: 884956Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 135 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 14 mV Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 65 mV Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.003197052900562288,-0.004242462783974213,-0.001599869272903148
-0.003195922900562287,-0.004580744209447866,-0.0009222813194709357
-0.003194792900562288,-0.004242462783974366,-0.00159986927290284
-0.003193662900562288,-0.003904181358500406,-0.001599869272903148
-0.003192532900562288,-0.004242462783974213,-0.001261075296186881
-0.003191402900562287,-0.004580744209447711,-0.001599869272903302
-0.003190272900562288,-0.003904181358500406,-0.001938663249619402
-0.003189142900562288,-0.004580744209448019,-0.001938663249619402
-0.003188012900562288,-0.004580744209448019,-0.001599869272903148
-0.003186882900562288,-0.004242462783974366,-0.001938663249619248
-0.003185752900562288,-0.004242462783974213,-0.002277457226335669
-0.003184622900562288,-0.004242462783974213,-0.001938663249619402
-0.003183492900562288,-0.004242462783974213,-0.001938663249619402
-0.003182362900562288,-0.004580744209447866,-0.001938663249619402
-0.003181232900562288,-0.004242462783974213,-0.001261075296186881
-0.003180102900562288,-0.004242462783974213,-0.001938663249619402
-0.003178972900562287,-0.004580744209447866,-0.001599869272902994
-0.003177842900562288,-0.004242462783974366,-0.001261075296187035
-0.003176712900562288,-0.004580744209448019,-0.0009222813194706275
-0.003175582900562288,-0.004580744209448019,-0.001599869272903148
-0.003174452900562287,-0.004580744209447866,-0.001599869272903148
-0.003173322900562288,-0.004242462783974366,-0.001599869272903148
-0.003172192900562288,-0.003904181358500406,-0.001599869272903148
-0.003171062900562288,-0.004580744209448019,-0.001599869272903148
-0.003169932900562287,-0.004919025634921674,-0.001261075296186727
-0.003168802900562288,-0.004580744209448019,-0.0009222813194706275
-0.003167672900562288,-0.004242462783974213,-0.001938663249619402
-0.003166542900562288,-0.004919025634921827,-0.002277457226335669
-0.003165412900562288,-0.00525730706039548,-0.001599869272903456
-0.003164282900562288,-0.003904181358500406,-0.001599869272903148
-0.003163152900562288,-0.004919025634921827,-0.001261075296186881
-0.003162022900562288,-0.004242462783974213,-0.001599869272903148
-0.003160892900562288,-0.004242462783974213,-0.002277457226335361
-0.003159762900562288,-0.004242462783974213,-0.001599869272903148
-0.003158632900562288,-0.004580744209448019,-0.001599869272903148
-0.003157502900562287,-0.004242462783974521,-0.001261075296186881
-0.003156372900562288,-0.004919025634921519,-0.001261075296186881
-0.003155242900562288,-0.004580744209448019,-0.001599869272903148
-0.003154112900562288,-0.004580744209448019,-0.001261075296186881
-0.003152982900562287,-0.004580744209448019,-0.001261075296187035
-0.003151852900562288,-0.004580744209448019,-0.001599869272902994
-0.003150722900562288,-0.004242462783974213,-0.001599869272903148
-0.003149592900562288,-0.004919025634921827,-0.0009222813194706275
-0.003148462900562287,-0.004919025634921827,-0.001261075296187035
-0.003147332900562288,-0.004919025634921827,-0.001599869272903148
-0.003146202900562288,-0.004580744209448019,-0.001938663249619402
-0.003145072900562288,-0.004580744209448019,-0.001599869272903148
-0.003143942900562287,-0.004580744209448019,-0.001261075296187035
-0.003142812900562288,-0.004580744209448019,-0.001599869272903148
-0.003141682900562288,-0.004580744209448019,-0.002277457226335669
-0.003140552900562288,-0.004242462783974213,-0.001599869272903148
-0.003139422900562288,-0.004580744209447866,-0.001599869272903148
-0.003138292900562288,-0.004242462783974213,-0.001599869272903148
-0.003137162900562288,-0.004242462783974213,-0.001261075296186881
-0.003136032900562287,-0.004919025634921674,-0.001261075296187035
-0.003134902900562288,-0.004580744209448173,-0.001599869272902994
-0.003133772900562288,-0.004242462783974213,-0.001938663249619402
-0.003132642900562288,-0.004242462783974213,-0.001938663249619402
-0.003131512900562287,-0.003904181358500406,-0.001599869272903302
-0.003130382900562288,-0.003904181358500406,-0.001938663249619248
-0.003129252900562288,-0.004242462783974213,-0.001599869272903148
-0.003128122900562288,-0.004242462783974213,-0.001938663249619402
-0.003126992900562287,-0.004919025634921519,-0.001599869272903148
-0.003125862900562288,-0.004242462783974213,-0.001599869272903148
-0.003124732900562288,-0.004580744209448019,-0.001599869272903148
-0.003123602900562288,-0.004580744209448019,-0.001938663249619402
-0.003122472900562287,-0.004242462783974213,-0.001261075296186881
-0.003121342900562288,-0.004242462783974213,-0.001261075296186881
-0.003120212900562288,-0.004580744209448019,-0.001599869272903148
-0.003119082900562288,-0.004580744209448019,-0.001599869272903148
-0.003117952900562288,-0.004580744209448019,-0.001261075296187035
-0.003116822900562288,-0.004242462783974213,-0.0009222813194706275
-0.003115692900562288,-0.004580744209448019,-0.001599869272903148
-0.003114562900562287,-0.004242462783974213,-0.001938663249619402
-0.003113432900562288,-0.004242462783974213,-0.001938663249619402
-0.003112302900562288,-0.004242462783974213,-0.001938663249619402
-0.003111172900562288,-0.004580744209448019,-0.001599869272903148
-0.003110042900562287,-0.004919025634921827,-0.001938663249619248
-0.003108912900562288,-0.004919025634921827,-0.001599869272903302
-0.003107782900562288,-0.004919025634921827,-0.001261075296186881
-0.003106652900562288,-0.004919025634921827,-0.001261075296186881
-0.003105522900562287,-0.004580744209448019,-0.001599869272903148
-0.003104392900562288,-0.004580744209448019,-0.001599869272903148
-0.003103262900562288,-0.004580744209448019,-0.001599869272903148
