Time(s)\disp(mm)\Force(Lb)\Force(Lb)
0.000000000000000000e+00	4.434648667215411066e+00	-8.033450799999999337e-01	1.339001512859304244e+00
1.001001001001000992e-03	4.434468349489773864e+00	-7.709688800000000786e-01	1.273734140191629116e+00
2.002002002002001985e-03	4.432990979600899273e+00	-7.385926799999998904e-01	1.175833081190116092e+00
3.003003003003002977e-03	4.429694872567256247e+00	-5.508107199999999759e-01	1.077932022188603289e+00
4.004004004004003969e-03	4.424519801563428167e+00	-3.954049599999999165e-01	1.012664649520927940e+00
5.005005005005004962e-03	4.417713387735083153e+00	-2.982763600000000181e-01	9.147635905194151373e-01
6.006006006006005954e-03	4.410096123013165226e+00	-1.493458400000000075e-01	7.515951588502269853e-01
7.007007007007006946e-03	4.402376676364938568e+00	-9.106868000000001295e-02	5.884267271810389444e-01
8.008008008008007939e-03	4.394710455609370570e+00	1.290894800000000064e-01	3.926246091780131731e-01
9.009009009009008931e-03	4.387615958376438918e+00	3.557228800000000746e-01	2.294561775088249655e-01
1.001001001001000992e-02	4.381849312110996486e+00	4.204752800000000068e-01	3.365405950579927752e-02
1.101101101101101092e-02	4.376936283785392234e+00	7.830887200000000714e-01	-9.688068582955121355e-02
1.201201201201201191e-02	4.371530122631027027e+00	9.449697200000000130e-01	-3.253164901664145625e-01
1.301301301301301290e-02	4.365448662894213960e+00	9.643954399999999927e-01	-5.211186081694403338e-01
1.401401401401401389e-02	4.360161793732602931e+00	1.301107919999999973e+00	-5.863859808371156834e-01
1.501501501501501488e-02	4.357236742695977050e+00	1.307583159999999856e+00	-7.169207261724660496e-01
1.601601601601601588e-02	4.356728124475857555e+00	1.262256480000000014e+00	-8.474554715078166378e-01
1.701701701701701513e-02	4.356941938396065694e+00	1.255781239999999910e+00	-7.495544125063037244e-01
1.801801801801801786e-02	4.356080607149822370e+00	1.281682200000000105e+00	-8.148217851739789630e-01
1.901901901901902059e-02	4.354377352945720148e+00	1.262256480000000014e+00	-6.842870398386284858e-01
2.002002002002001985e-02	4.353363115204341049e+00	1.268731720000000118e+00	-7.495544125063037244e-01
2.102102102102101910e-02	4.353332561350311103e+00	1.268731720000000118e+00	-6.842870398386284858e-01
2.202202202202202183e-02	4.353588475605866037e+00	1.288157439999999765e+00	-7.821880988401412882e-01
2.302302302302302456e-02	4.353802342074410525e+00	1.255781239999999910e+00	-6.842870398386284858e-01
2.402402402402402382e-02	4.354117449712330057e+00	9.967716399999999588e-01	-3.905838628340898566e-01
2.502502502502502307e-02	4.355373871044700529e+00	9.773459200000000902e-01	-5.211186081694403338e-01
2.602602602602602580e-02	4.358245443540844200e+00	5.370296000000001069e-01	1.020373171961676869e-03
2.702702702702702853e-02	4.362202025096256541e+00	3.039209600000000178e-01	1.315551185073121632e-01
2.802802802802802778e-02	4.366402723658096008e+00	2.521190400000000165e-01	3.599909228441755538e-01
2.902902902902902704e-02	4.370679253038707301e+00	-1.558210800000000007e-01	5.884267271810389444e-01
3.003003003003002977e-02	4.375221350936453035e+00	-2.659001599999999965e-01	7.189614725163894215e-01
3.103103103103103250e-02	4.379896165722044543e+00	-4.277811600000000491e-01	8.821299041855775735e-01
3.203203203203203175e-02	4.384406163258139699e+00	-5.054840400000000233e-01	9.147635905194151373e-01
3.303303303303303101e-02	4.388880384078261088e+00	-6.349888400000001099e-01	1.110565708522440964e+00
3.403403403403403027e-02	4.394077939878227923e+00	-6.932660000000000489e-01	1.175833081190116092e+00
3.503503503503503647e-02	4.400193794516053636e+00	-7.450679199999999947e-01	1.208466767523953767e+00
3.603603603603603572e-02	4.406316233673659433e+00	-7.191669600000000218e-01	1.339001512859304244e+00
3.703703703703703498e-02	4.411982789099298863e+00	-9.263746400000000270e-01	1.371635199193141919e+00
3.803803803803804118e-02	4.416886502426423000e+00	-8.810479599999999634e-01	1.404268885526979593e+00
3.903903903903904044e-02	4.421098153017866572e+00	-9.328498800000000202e-01	1.469536258194654943e+00
4.004004004004003969e-02	4.426534849961146989e+00	-1.068829919999999989e+00	1.534803630862329848e+00
4.104104104104103895e-02	4.433234385330994343e+00	-1.029978480000000030e+00	1.534803630862329848e+00
4.204204204204203821e-02	4.437528261837690557e+00	-9.846517999999999660e-01	1.567437317196167523e+00
4.304304304304304440e-02	4.438282592240138769e+00	-1.010552759999999939e+00	1.567437317196167523e+00
4.404404404404404366e-02	4.438864142591749662e+00	-1.049404199999999898e+00	1.567437317196167523e+00
4.504504504504504292e-02	4.441020311685124788e+00	-1.029978480000000030e+00	1.534803630862329848e+00
4.604604604604604912e-02	4.442437042797339863e+00	-9.781765600000000838e-01	1.567437317196167523e+00
4.704704704704704837e-02	4.441291029282687930e+00	-9.069489200000000473e-01	1.502169944528492396e+00
4.804804804804804763e-02	4.438899935696744237e+00	-8.810479599999999634e-01	1.469536258194654943e+00
4.904904904904904689e-02	4.436929004252319508e+00	-8.551469999999999905e-01	1.436902571860817046e+00
5.005005005005004615e-02	4.435640792347984807e+00	-8.162955600000000311e-01	1.436902571860817046e+00
5.105105105105105234e-02	4.434394352221391777e+00	-7.580183999999999811e-01	1.306367826525466569e+00
5.205205205205205160e-02	4.431969385785294868e+00	-7.450679199999999947e-01	1.143199394856278639e+00
5.305305305305305086e-02	4.428037271111357143e+00	-5.443354799999999827e-01	1.110565708522440964e+00
5.405405405405405705e-02	4.422966395885521429e+00	-4.018802000000000207e-01	1.012664649520927940e+00
5.505505505505505631e-02	4.416860373150546693e+00	-2.982763600000000181e-01	8.494962178517398987e-01
5.605605605605605557e-02	4.410401885737768701e+00	-1.558210800000000007e-01	7.515951588502269853e-01
5.705705705705705483e-02	4.403297877318962605e+00	-1.104944000000000065e-01	5.557930408472013806e-01
5.805805805805805409e-02	4.394429284939660896e+00	1.355647199999999997e-01	3.926246091780131731e-01
5.905905905905906028e-02	4.385450833526440384e+00	3.492476399999999703e-01	2.294561775088249655e-01
6.006006006006005954e-02	4.379048796255303522e+00	4.140000400000000136e-01	1.020373171961676869e-03
6.106106106106105880e-02	4.374787789623572287e+00	7.766134800000000782e-01	-9.688068582955121355e-02
6.206206206206206499e-02	4.370214568977750069e+00	9.449697200000000130e-01	-3.579501765002521818e-01
6.306306306306305731e-02	4.364613999547602319e+00	9.773459200000000902e-01	-5.537522945032778976e-01
6.406406406406406351e-02	4.359983010919648905e+00	1.288157439999999765e+00	-5.863859808371156834e-01
6.506506506506506970e-02	4.357702373498507420e+00	1.288157439999999765e+00	-6.842870398386284858e-01
6.606606606606606202e-02	4.356607308717250326e+00	1.275206959999999778e+00	-7.821880988401412882e-01
6.706706706706706822e-02	4.355819172357367819e+00	1.242830760000000145e+00	-7.495544125063037244e-01
6.806806806806806054e-02	4.355311573654677915e+00	1.275206959999999778e+00	-7.821880988401412882e-01
6.906906906906906674e-02	4.353957474936418492e+00	1.249306000000000250e+00	-6.516533535047908110e-01
7.007007007007007293e-02	4.351407288494851144e+00	1.275206959999999778e+00	-7.495544125063037244e-01
7.107107107107106525e-02	4.349447396575986780e+00	1.249306000000000250e+00	-7.169207261724660496e-01
7.207207207207207145e-02	4.349365360760549137e+00	1.275206959999999778e+00	-7.169207261724660496e-01
7.307307307307307764e-02	4.350769834973815975e+00	1.255781239999999910e+00	-7.495544125063037244e-01
7.407407407407406996e-02	4.352975880878137360e+00	1.016197360000000049e+00	-3.579501765002521818e-01
7.507507507507507616e-02	4.355708837245976461e+00	9.967716399999999588e-01	-4.884849218356027145e-01
7.607607607607608236e-02	4.358445350803011209e+00	5.240791200000000094e-01	1.020373171961676869e-03
7.707707707707707467e-02	4.360715668699589820e+00	3.039209600000000178e-01	9.892143217347457163e-02
7.807807807807808087e-02	4.363835782629676530e+00	2.391685600000000023e-01	3.599909228441755538e-01
7.907907907907907319e-02	4.369226160058988562e+00	-1.428706000000000143e-01	5.557930408472013806e-01
8.008008008008007939e-02	4.375368692107138635e+00	-2.788506400000000385e-01	7.189614725163894215e-01
8.108108108108108558e-02	4.380064814838578791e+00	-4.472068799999999733e-01	9.147635905194151373e-01
8.208208208208207790e-02	4.383579990972835461e+00	-4.990087999999999191e-01	8.821299041855775735e-01
8.308308308308308410e-02	4.387648871499033376e+00	-6.544145599999999785e-01	1.045298335854765615e+00
8.408408408408407642e-02	4.393033144410276591e+00	-6.867907599999999446e-01	1.110565708522440964e+00
